java_file,coco
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_detectLocale_5.java,4
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_ViewMessageBodyWriter_1.java,0
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewBundle_run_3.java,3
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_setHeaders_0.java,0
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewBundle_ViewBundle_0.java,0
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderExceptionMapper_toResponse_0.java,0
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderException_ViewRenderException_0.java,0
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderException_ViewRenderException_1.java,0
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_getRenderers_6.java,0
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_isWriteable_2.java,0
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderExceptionMapper_isMappable_1.java,0
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewBundle_ViewBundle_1.java,0
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderException_ViewRenderException_2.java,0
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/PersonView_PersonView_0.java,0
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ErrorView_ErrorView_0.java,0
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ValidationErrorView_ValidationErrorView_0.java,0
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ViewsConfiguration_getViewRendererConfiguration_0.java,0
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ViewsApp_initialize_0.java,0
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ViewsApp_run_1.java,0
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/Person_getName_2.java,0
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/PersonDAO_find_0.java,0
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/PersonView_getPerson_1.java,0
