java_file,cc
/Lesson06-Visualizer-Preferences/T06.02-Solution-MakeAPreferenceFragment/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_onOptionsItemSelected_3.java,2
/Lesson06-Visualizer-Preferences/T06.02-Solution-MakeAPreferenceFragment/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_onCreate_0.java,1
/Lesson06-Visualizer-Preferences/T06.02-Solution-MakeAPreferenceFragment/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_defaultSetup_1.java,1
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_onSharedPreferenceChanged_3.java,5
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_onDestroy_4.java,1
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_setupSharedPreferences_1.java,1
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_setupPermissions_9.java,3
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_onOptionsItemSelected_6.java,2
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_onResume_8.java,2
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/SettingsFragment_onCreatePreferences_0.java,1
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_loadColorFromPreferences_2.java,1
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_onCreate_0.java,1
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/VisualizerActivity_onCreateOptionsMenu_5.java,1
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/AudioVisuals/VisualizerView_setColor_10.java,3
/Lesson06-Visualizer-Preferences/T06.07-Solution-ListPreference/app/src/main/java/android/example/com/visualizerpreferences/AudioVisuals/VisualizerView_updateFFT_4.java,4
