java_file,nobl
/jdbc/graalvm-native/src/main/java/example/springdata/jdbc/graalvmnative/CLR_findByPartialName_4.java,1
/jdbc/graalvm-native/src/main/java/example/springdata/jdbc/graalvmnative/CLR_findById_5.java,1
/jdbc/graalvm-native/src/main/java/example/springdata/jdbc/graalvmnative/CLR_deleteAll_2.java,0
/jdbc/mybatis/src/main/java/example/springdata/jdbc/mybatis/ModelMapEntry_setValue_1.java,0
/jdbc/mybatis/src/main/java/example/springdata/jdbc/mybatis/Output_list_0.java,3
/jdbc/mybatis/src/main/java/example/springdata/jdbc/mybatis/LegoSet_addModel_0.java,1
/jdbc/jooq/src/main/java/example/springdata/jdbc/jooq/CategoryConfiguration_connectionProvider_0.java,0
/jdbc/jooq/src/main/java/example/springdata/jdbc/jooq/CategoryConfiguration_dsl_1.java,0
/jdbc/jooq/src/main/java/example/springdata/jdbc/jooq/Category_Category_0.java,0
/jdbc/jooq/src/main/java/example/springdata/jdbc/jooq/Output_list_0.java,3
/jdbc/jooq/src/main/java/example/springdata/jdbc/jooq/CategoryConfiguration_configuration_2.java,0
/web/querydsl/src/main/java/example/users/Application_main_0.java,0
/web/querydsl/src/main/java/example/users/UserInitializer_init_0.java,2
/web/querydsl/src/main/java/example/users/UserInitializer_readUsers_1.java,18
/web/querydsl/src/main/java/example/users/Application_initialize_2.java,0
/web/querydsl/src/main/java/example/users/Application_springDataDialect_1.java,0
/web/projection/src/main/java/example/users/UserController_getChangedXml_5.java,0
/web/projection/src/main/java/example/users/Application_main_0.java,0
/web/projection/src/main/java/example/users/UserController_getJson_2.java,2
/web/projection/src/main/java/example/users/UserController_getXml_4.java,0
/web/projection/src/main/java/example/users/UserController_getChangedJson_3.java,0
/web/example/src/main/java/example/Application_main_0.java,0
/web/example/src/main/java/example/users/web/UserController_listUsers_3.java,2
/web/example/src/main/java/example/users/web/UserController_register_2.java,5
/web/example/src/main/java/example/users/Username_toString_2.java,0
/web/example/src/main/java/example/users/UserManagement_register_0.java,4
/web/example/src/main/java/example/users/Username_Username_1.java,2
/web/example/src/main/java/example/users/UserManagement_init_3.java,1
/web/example/src/main/java/example/users/UserManagement_findAll_1.java,2
/web/example/src/main/java/example/users/Password_encrypted_2.java,0
/web/example/src/main/java/example/users/Password_raw_1.java,0
/web/example/src/main/java/example/users/User_assertEncrypted_1.java,1
/web/example/src/main/java/example/users/Password_toString_3.java,0
/web/example/src/main/java/example/users/UserManagement_findByUsername_2.java,2
/web/example/src/main/java/example/Application_passwordEncoder_1.java,0
/rest/multi-store/src/main/java/example/springdata/multistore/Application_main_0.java,0
/rest/multi-store/src/main/java/example/springdata/multistore/person/Person_Person_0.java,0
/rest/projections/src/main/java/example/springdata/rest/projections/Order_add_0.java,1
/rest/projections/src/main/java/example/springdata/rest/projections/Application_main_0.java,0
/rest/projections/src/main/java/example/springdata/rest/projections/Application_init_1.java,4
/rest/projections/src/main/java/example/springdata/rest/projections/Address_toString_1.java,0
/rest/starbucks/src/main/java/example/springdata/rest/stores/StoreInitializer_StoreInitializer_0.java,4
/rest/starbucks/src/main/java/example/springdata/rest/stores/StoreInitializer_readStores_1.java,13
/rest/uri-customization/src/main/java/example/springdata/rest/uris/Application_main_0.java,0
/rest/uri-customization/src/main/java/example/springdata/rest/uris/Application_init_1.java,1
/rest/uri-customization/src/main/java/example/springdata/rest/uris/UserEntityLookup_lookupEntity_1.java,0
/rest/uri-customization/src/main/java/example/springdata/rest/uris/UserEntityLookup_getLookupProperty_2.java,0
/rest/uri-customization/src/main/java/example/springdata/rest/uris/SpringDataRestCustomization_configureRepositoryRestConfiguration_0.java,0
/rest/uri-customization/src/main/java/example/springdata/rest/uris/UserEntityLookup_getResourceIdentifier_0.java,0
/rest/security/src/main/java/example/springdata/rest/security/SecurityUtils_runAs_0.java,2
/rest/headers/src/main/java/example/springdata/rest/headers/Application_main_0.java,0
