java_file,loc
/activiti-examples/activiti-api-basic-connector-example/src/main/java/org/activiti/examples/DemoApplication_getMovieDescUUIDs_11.java,3
/activiti-examples/activiti-api-basic-connector-example/src/main/java/org/activiti/examples/DemoApplication_startProcess_8.java,11
/activiti-examples/activiti-api-basic-connector-example/src/main/java/org/activiti/examples/DemoApplication_listTaskVariables_6.java,8
/activiti-examples/activiti-api-basic-connector-example/src/main/java/org/activiti/examples/DemoApplication_listProcessVariables_7.java,9
/activiti-examples/activiti-api-basic-connector-example/src/main/java/org/activiti/examples/DemoApplication_getConnector_12.java,9
/activiti-examples/activiti-api-basic-connector-example/src/main/java/org/activiti/examples/DemoApplication_getMovieDesc_10.java,3
/activiti-examples/activiti-api-basic-connector-example/src/main/java/org/activiti/examples/SecurityUtil_logInAs_0.java,37
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/ProcessCandidateStartersEventProducer_notifyCandidateStarterGroupAddedListeners_3.java,5
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/AbstractActivitiSmartLifeCycle_setPhase_5.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/ProcessCandidateStartersEventProducer_doStart_1.java,20
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/ProcessCandidateStartersEventProducer_notifyCandidateStarterUserAddedListeners_2.java,5
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/StartMessageDeployedEventProducer_doStop_2.java,2
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/AbstractActivitiSmartLifeCycle_isRunning_10.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/ApplicationDeployedEventProducer_setAfterRollback_5.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/integration/Activiti_inboundGateway_0.java,3
/activiti-core/activiti-spring-boot-starter/src/main/java/org/activiti/spring/integration/IntegrationActivityBehavior_leave_2.java,3
