java_file,midx
/src/main/java/junit/framework/ComparisonFailure_getMessage_1.java,100
/src/main/java/junit/framework/JUnit4TestAdapter_getTests_4.java,100
/src/main/java/junit/framework/TestSuite_isTestMethod_24.java,100
/src/main/java/junit/framework/TestCase_format_45.java,100
/src/main/java/junit/framework/TestCase_getName_49.java,100
/src/main/java/junit/framework/TestSuite_getName_14.java,100
/src/main/java/junit/framework/JUnit4TestAdapter_order_12.java,100
/src/main/java/junit/framework/ComparisonFailure_getActual_2.java,100
/src/main/java/junit/framework/TestCase_toString_48.java,100
/src/main/java/junit/framework/TestCase_assertEquals_14.java,100
/src/main/java/junit/framework/TestCase_assertEquals_32.java,100
/src/main/java/junit/framework/JUnit4TestAdapterCache_asTest_1.java,100
/src/main/java/junit/textui/TestRunner_pause_12.java,100
/src/main/java/junit/textui/ResultPrinter_printDefect_7.java,100
/src/main/java/junit/textui/TestRunner_TestRunner_0.java,100
/src/main/java/junit/textui/TestRunner_testFailed_6.java,100
/src/main/java/junit/textui/TestRunner_doRun_11.java,100
/src/main/java/junit/textui/ResultPrinter_startTest_16.java,100
/src/main/java/junit/textui/TestRunner_setPrinter_17.java,100
/src/main/java/junit/textui/TestRunner_TestRunner_2.java,100
/src/main/java/junit/textui/TestRunner_runFailed_16.java,100
/src/main/java/junit/textui/ResultPrinter_addFailure_14.java,100
/src/main/java/junit/textui/ResultPrinter_printDefects_6.java,100
/src/main/java/junit/textui/TestRunner_createTestResult_9.java,100
/src/main/java/junit/textui/ResultPrinter_printErrors_4.java,100
/src/main/java/junit/textui/TestRunner_run_4.java,100
/src/main/java/junit/textui/ResultPrinter_printFooter_10.java,100
/src/main/java/junit/textui/ResultPrinter_addError_13.java,100
/src/main/java/junit/textui/TestRunner_main_13.java,100
/src/main/java/junit/textui/TestRunner_start_14.java,97.359
/src/main/java/junit/textui/ResultPrinter_printDefectHeader_8.java,100
/src/main/java/junit/textui/ResultPrinter_getWriter_12.java,100
/src/main/java/junit/textui/ResultPrinter_printDefectTrace_9.java,100
/src/main/java/junit/textui/TestRunner_doRun_10.java,100
/src/main/java/junit/textui/TestRunner_TestRunner_1.java,100
/src/main/java/junit/textui/ResultPrinter_ResultPrinter_0.java,100
/src/main/java/junit/textui/ResultPrinter_printHeader_3.java,100
/src/main/java/junit/textui/TestRunner_testEnded_8.java,100
/src/main/java/junit/textui/TestRunner_runAndWait_5.java,100
/src/main/java/junit/textui/TestRunner_testStarted_7.java,100
/src/main/java/junit/textui/TestRunner_runSingleMethod_15.java,100
/src/main/java/junit/textui/ResultPrinter_print_1.java,100
/src/main/java/junit/textui/TestRunner_run_3.java,100
/src/main/java/junit/textui/ResultPrinter_printWaitPrompt_2.java,100
/src/main/java/junit/textui/ResultPrinter_elapsedTimeAsString_11.java,100
/src/main/java/junit/textui/ResultPrinter_printFailures_5.java,100
/src/main/java/junit/textui/ResultPrinter_endTest_15.java,100
/src/main/java/junit/runner/BaseTestRunner_elapsedTimeAsString_12.java,100
/src/main/java/junit/runner/BaseTestRunner_readPreferences_22.java,100
/src/main/java/junit/runner/BaseTestRunner_getPreference_24.java,100
/src/main/java/junit/runner/BaseTestRunner_savePreferences_3.java,100
/src/main/java/junit/runner/BaseTestRunner_extractClassName_15.java,100
/src/main/java/junit/runner/Version_main_2.java,100
