java_file,cc
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JavaModulePlugin_configureTestTasks_4.java,2
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JavaModulePlugin_configureCompileTasks_3.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JavaModulePlugin_configureCompileTask_2.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionPlugin_JdkVersionPlugin_0.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JavaModulePlugin_apply_1.java,3
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_getTestLauncherVersion_11.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionPlugin_getJavaLanguageVersion_2.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JavaModulePlugin_JavaModulePlugin_0.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_extractVersion_16.java,3
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_getMain_5.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_getJavaLanguageVersion_14.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionSettingsPlugin_apply_0.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_getMainCompileVersion_7.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_isExplicit_2.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_getTestCompileVersion_9.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_getTestReleaseVersion_10.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_getBaselineVersion_3.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionPlugin_apply_1.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionSettingsPlugin_getJavaLanguageVersion_1.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JavaModulePlugin_javadocFlags_6.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JavaModulePlugin_configureJavadocTasks_5.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_getAllVersions_12.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_getTest_6.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionConfig_extractVersion_15.java,3
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionsLogging_logVersions_0.java,3
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JavaModulePlugin_getJvmArgs_7.java,2
/local-build-plugins/src/main/java/org/hibernate/orm/toolchains/JdkVersionsLogging_logOnce_1.java,2
/local-build-plugins/src/main/java/org/hibernate/orm/db/DatabaseServicePlugin_apply_0.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/ReleaseFamilyIdentifier_parse_7.java,4
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarGenerationTask_getOutputDirectory_3.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarDescriptor_getPackageName_2.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/GrammarDescriptorFactory_determineTaskName_2.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/GrammarDescriptorFactory_create_1.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarDescriptor_getGenerateVisitor_5.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarGenerationTask_generateLexerAndParser_4.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/AntlrHelper_stripSillyGeneratedFromLines_1.java,3
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarDescriptor_getLexerFileName_3.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarDescriptor_getName_1.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarDescriptor_generateVisitor_7.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarDescriptor_SplitGrammarDescriptor_0.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarGenerationTask_getLexerGrammarFile_1.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarGenerationTask_SplitGrammarGenerationTask_0.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarGenerationTask_generateLexer_5.java,1
/local-build-plugins/src/main/java/org/hibernate/orm/antlr/SplitGrammarDescriptor_getGenerateListener_6.java,1
