java_file,nocl
/examples/java/twitter/src/main/java/org/apache/beam/examples/twitterstreamgenerator/ReadFromTwitterDoFn_ReadFromTwitterDoFn_0.java,0
/examples/java/twitter/src/main/java/org/apache/beam/examples/twitterstreamgenerator/TwitterConfig_getSecret_5.java,0
/examples/java/src/main/java/org/apache/beam/examples/SumPerKeyExample_main_0.java,3
/examples/java/src/main/java/org/apache/beam/examples/KeysExample_main_0.java,5
/examples/java/src/main/java/org/apache/beam/examples/ApproximateQuantilesExample_main_0.java,6
/examples/java/src/main/java/org/apache/beam/examples/MapElementsExample_main_0.java,4
/examples/java/src/main/java/org/apache/beam/examples/CoGroupByKeyExample_main_0.java,3
/examples/java/src/main/java/org/apache/beam/examples/ToStringExample_main_0.java,4
/examples/java/src/main/java/org/apache/beam/examples/cookbook/CombinePerKeyExamples_main_0.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/JoinExamples_main_1.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/MaxPerKeyExamples_runMaxPerKeyExamples_1.java,1
/examples/java/src/main/java/org/apache/beam/examples/cookbook/DistinctExample_main_0.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/BigQueryTornadoes_applyBigQueryTornadoes_0.java,3
/examples/java/src/main/java/org/apache/beam/examples/cookbook/TriggerExample_tryIntegerParse_4.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/DistinctExample_runDistinctExample_1.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/TriggerExample_main_0.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/TriggerExample_runTriggerExample_1.java,1
/examples/java/src/main/java/org/apache/beam/examples/cookbook/TriggerExample_getSchema_3.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/TriggerExample_getTableReference_2.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/FilterExamples_buildWeatherSchemaProjection_0.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/JoinExamples_runJoinExamples_2.java,2
/examples/java/src/main/java/org/apache/beam/examples/cookbook/BigQueryTornadoes_runBigQueryTornadoes_1.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/CombinePerKeyExamples_runCombinePerKeyExamples_1.java,1
/examples/java/src/main/java/org/apache/beam/examples/cookbook/BigQueryTornadoes_main_2.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/MaxPerKeyExamples_main_0.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/FilterExamples_runFilterExamples_2.java,0
/examples/java/src/main/java/org/apache/beam/examples/cookbook/FilterExamples_main_1.java,0
/examples/java/src/main/java/org/apache/beam/examples/MaxExample_main_0.java,3
/examples/java/src/main/java/org/apache/beam/examples/cookbook/DistinctExample_main_0.java,0
/examples/java/src/main/java/org/apache/beam/examples/DistinctExample_main_0.java,5
/examples/java/src/main/java/org/apache/beam/examples/MeanPerKeyExample_main_0.java,3
/examples/java/src/main/java/org/apache/beam/examples/FlatMapElementsExample_main_0.java,4
/examples/java/src/main/java/org/apache/beam/examples/RegexExample_main_0.java,4
/examples/java/src/main/java/org/apache/beam/examples/complete/TrafficMaxLaneFlow_tryIntParse_2.java,0
/examples/java/src/main/java/org/apache/beam/examples/complete/AutoComplete_main_1.java,0
/examples/java/src/main/java/org/apache/beam/examples/complete/TrafficMaxLaneFlow_runTrafficMaxLaneFlow_0.java,5
