java_file,fout
/kubernetes/01-hello-world-rest-api/src/main/java/com/in28minutes/rest/webservices/restfulwebservices/RestfulWebServicesApplication_main_0.java,0
/kubernetes/01-hello-world-rest-api/src/main/java/com/in28minutes/rest/webservices/restfulwebservices/environment/InstanceInformationService_retrieveInstanceInfo_0.java,0
/kubernetes/01-hello-world-rest-api/src/main/java/com/in28minutes/rest/webservices/restfulwebservices/HelloWorldController_helloWorld_1.java,0
/kubernetes/01-hello-world-rest-api/src/main/java/com/in28minutes/rest/webservices/restfulwebservices/HelloWorldController_imUpAndRunning_0.java,0
/kubernetes/01-hello-world-rest-api/src/main/java/com/in28minutes/rest/webservices/restfulwebservices/HelloWorldController_helloWorldBean_2.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/CurrencyExchangeServiceApplicationH2_main_0.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/util/environment/EnvironmentConfigurationLogger_handleContextRefresh_0.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/util/environment/InstanceInformationService_retrieveInstanceInfo_0.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/resource/ExchangeValue_getId_2.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/resource/ExchangeValue_ExchangeValue_0.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/resource/ExchangeValue_toString_8.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/resource/ExchangeValue_getTo_4.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/resource/ExchangeValue_setExchangeEnvironmentInfo_7.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/resource/CurrencyExchangeController_imHealthy_0.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/resource/ExchangeValue_getConversionMultiple_5.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/resource/ExchangeValue_getExchangeEnvironmentInfo_6.java,0
/jenkins/currency-exchange-microservice/src/main/java/com/in28minutes/microservices/currencyexchangeservice/resource/ExchangeValue_ExchangeValue_1.java,0
